number,name,credit,sylabus
014003,סטטיסטיקה,3,"יסודות תורת ההסתברות: מרחב מדגם ומאורעות, חישוב הסתברויות במרחב סימטרי, הסתברות מותנית ואי-תלות- נוסחת ההסתברות השלימה ונוסחת בייס, אי-תלות של מאורעות. משתנה מקרי בדיד ורציף: משתנים מקריים והתפלגותיהם, תוחלת ושונות של משתנה מקרי, התפלגויות מיוחדות. משתנה מקרי דו-מימדי. משפט הגבול המרכזי. הסקה סטטיסטית: סטטיסטיקה תאורית. אמידה נקודתית. אמידה מרווחית: רווחי סמך. רווח סמך לתוחלת (כאשר השונות ידועה ואינה ידועה), רווח סמך לשונות. בדיקת השערות: רמת מובהקות ועוצמה המבחן. הסקה על תוחלת, שונות ופרופורציה. השוואת שתי אוכלוסיות: מבחן T לשני מדגמים בלתי תלויים ומדגמים מזווגים, השוואת שתי פרופורציות. מבחן חי-בריבוע לטיב התאמה. ניתוח שונות, רגרסיה."
014004,נתוח מערכות,3,"בעיות אופטימזציה בהנדסה אזרחית וסביבתית וניסוחן. משפט TKK. תכנות לינארי. דואליות. מבחני רגישות, תכנות דינמי, תורת ההחלטות. יסודות תכנות לא לינארי.מבוא לתכנות בשלמים."
014005,מעבדה הנדסית,1.5,"מעבדה פקולטית בסיסית למכניקת מוצקים: תכונות חומרים, מדידי עבור, מאמצים משולבים, בעיות בכפיפה, פוטואלסטיות, קריסה."
014006,מבוא לשיטות נומריות,3,"פתרון מערכות משוואות לינאריות. פתרון משוואות לא לינאריות. אינטרפולציה, אינטגרציה נומרית. גזירה נומרית. פתרון משוואות דיפרנציאליות רגילות, בעיות ערכים התחלתיים ותנאי שפה. התכנסות ויציבות."
014008,מידע גרפי הנדסי,3,"הקניית הבנה ויכולת בייצוג ותקשורת מידע הנדסי בענף הבנייה באמצעים גרפיים: חיזוק הראייה המרחבית (קריאה של היטלים/חתכים/ פרטים), תקשורת מושגים באמצעות סקיצות, מידול מידע בנין ( BIM ), כולל מידול D3, שימוש בכלי תכנה מתאימים."
014101,פרויקט בקונסטרוקציות,2.5,"הערה:קביעת הציון עפ""י מעקב במשך הסמסטר, בדיקת הפרויקט המוגש והצגתו בפני ועדת שיפוט. ***דרישות קדם: השלמת מקצועות חובה בהנדסת מבנים: 014105 או 014145, 014146 או 014106, 014109 או 014143 + 2 מקצועות בחירה בהנדסת מבנים. תכנון כללי של פרוייקט בשטח הנדסת מבנים על בסיס לימוד עצמי של בעיה הנדסית. השוואת פתרונות שונים. אנליזת המבנה והכנת  תכניות כלליות לאחד הפתרונות כולל פרוט חלקי של רכיבים מבניים. דיווח טכני והצגת הפרויקט בסוף סמסטר הלימוד."
014103,מבוא למכניקה הנדסית,4,"***דרישות קדם: השלמות פיסיקה 1.***% וקטור כח, וקטור מומנט, מערכות שקולות במישור ובמרחב, מערכת שקולה פשוטה ביותר.% מושג הגוף החופשי,שווי משקל, מושגי היציבות והסיום הסטטי.% מסבכים מישוריים ומרחביים, קורות ומסגרות מישוריות ומרחביות.% מהלכי כוחות ומומנטים פנימיים במבנים.% עומסים מפורשים, תכונות גופים ושטחים (מרכז כובד, מרכזית, מומנט ראשון ושני של השטח).% קשרים דיפרנציאליים לכוחות פנימיים במבנים. % כבלים."
014104,תורת החוזק 1,4,"מבוא. מאמץ ועיבור במשיכה ולחיצה. פיתול חתכים שונים, כפיפת קורות אלסטיות והומוגניות. גזירה בשעת כפיפה, מרכז הגזירה. טרנספורמצית המאמץ והעיבור, שקיעות בעזרת המשוואה הדיפרצניאלית של הקו האלסטי, פתרון מבנים בלתי מסוימים. מושגים ראשונים של קריסה אלסטית."
014107,מבוא לתורת האלסטיות,2.5,"וקטורים וטנסורים. דפורמצייה, עיוותים. מאמצים, משואות שיווי משקל. חוקים קונסטיטוטיבים של אלסטיות. בעית ערך-שפה באלסטיות. תורת הפלטות. קריטריונים של חוזק וכשל."
014108,סטטיקת מבנים,3,מהלכי כוחות פנימיים וקווי השפעה במבנים מסוימים סטטית. משפט בטי וחישוב הזזות אלסטיות. שיטת הגמישות. שיטת הקשיחות. קווי השפעה במבנים בלתי-מסוימים סטטית.
