id,user,course,difficulty,workload,final_grade,semesters_taken,created_at,updated_at
4,4,104016,4.0,6.0,98.0,,2020-10-21 11:55:34.803390+00:00,2020-10-21 11:55:34.803410+00:00
6,4,114071,8.0,5.0,73.0,,2020-10-21 11:56:29.597224+00:00,2020-10-21 11:56:29.597269+00:00
7,4,234117,3.0,4.5,100.0,,2020-10-21 11:57:30.224478+00:00,2020-10-21 11:57:30.224506+00:00
8,4,104035,9.0,6.0,99.0,,2020-10-21 11:58:31.015122+00:00,2020-10-21 11:58:31.015142+00:00
9,4,104013,6.5,8.0,92.0,,2020-10-21 11:59:26.051200+00:00,2020-10-21 11:59:26.051229+00:00
10,4,114075,8.0,4.5,88.0,,2020-10-21 11:59:52.236010+00:00,2020-10-21 11:59:52.236060+00:00
11,4,44252,4.0,4.0,81.0,,2020-10-21 12:00:11.358587+00:00,2020-10-21 12:00:11.358634+00:00
12,4,104221,9.0,3.0,73.0,,2020-10-21 12:00:43.077576+00:00,2020-10-21 12:00:43.077603+00:00
13,4,234124,4.0,5.0,88.0,,2020-10-21 12:01:08.819419+00:00,2020-10-21 12:01:08.819441+00:00
14,4,234141,7.0,5.0,92.0,,2020-10-21 12:01:31.514595+00:00,2020-10-21 12:01:31.514625+00:00
15,4,44105,4.0,8.0,92.0,,2020-10-21 12:04:30.830909+00:00,2020-10-21 12:04:30.830928+00:00
16,4,44157,6.0,6.0,99.0,,2020-10-21 12:04:54.458481+00:00,2020-10-21 12:04:54.458501+00:00
17,4,44131,8.0,10.0,90.0,,2020-10-21 12:11:12.382201+00:00,2020-10-21 12:11:12.382221+00:00
18,4,234218,9.5,8.5,82.0,,2020-10-21 12:11:39.453781+00:00,2020-10-21 12:11:39.453801+00:00
19,4,234118,6.0,7.0,95.0,,2020-10-21 12:11:59.134673+00:00,2020-10-21 12:11:59.134693+00:00
22,5,104016,7.0,4.0,,,2020-10-21 14:09:48.116482+00:00,2020-10-21 14:09:48.116600+00:00
23,5,104031,8.5,6.0,,,2020-10-21 14:10:51.086892+00:00,2020-10-21 14:10:51.086922+00:00
24,5,114071,3.0,3.0,,,2020-10-21 14:11:27.423149+00:00,2020-10-21 14:11:27.423192+00:00
25,5,234117,2.0,4.5,,,2020-10-21 14:12:16.232258+00:00,2020-10-21 14:12:16.232294+00:00
26,5,394808,1.0,1.0,,,2020-10-21 14:12:40.002925+00:00,2020-10-21 14:12:40.002966+00:00
27,5,44252,5.5,9.0,,,2020-10-21 14:13:30.267800+00:00,2020-10-21 14:13:30.267829+00:00
28,5,45001,3.5,9.0,,,2020-10-21 14:13:57.602577+00:00,2020-10-21 14:13:57.602615+00:00
29,5,104013,5.0,6.0,,,2020-10-21 14:14:21.926969+00:00,2020-10-21 14:14:21.927005+00:00
30,5,104035,8.5,8.0,,,2020-10-21 14:14:49.229632+00:00,2020-10-21 14:14:49.229677+00:00
31,5,114032,3.0,10.0,,,2020-10-21 14:15:37.191298+00:00,2020-10-21 14:15:55.420074+00:00
32,5,114075,7.0,2.5,,,2020-10-21 14:16:15.609849+00:00,2020-10-21 14:16:15.609899+00:00
33,5,44157,2.5,7.0,,,2020-10-21 14:16:47.496864+00:00,2020-10-21 14:16:47.496893+00:00
34,5,44105,7.0,7.0,,,2020-10-21 14:17:24.877011+00:00,2020-10-21 14:17:24.877041+00:00
35,5,44268,7.5,8.5,,,2020-10-21 14:18:10.413333+00:00,2020-10-21 14:18:10.413371+00:00
36,5,104221,10.0,5.0,,,2020-10-21 14:18:27.810710+00:00,2020-10-21 14:18:27.810757+00:00
37,5,104223,9.5,5.5,,,2020-10-21 14:18:51.011516+00:00,2020-10-21 14:18:51.011557+00:00
38,5,114073,6.0,2.0,,,2020-10-21 14:19:11.494668+00:00,2020-10-21 14:19:11.494695+00:00
39,5,324602,1.0,2.0,,,2020-10-21 14:19:36.885550+00:00,2020-10-21 14:19:36.885578+00:00
40,5,44101,5.0,9.5,,,2020-10-21 14:19:59.271250+00:00,2020-10-21 14:19:59.271275+00:00
41,5,44127,8.5,8.0,,,2020-10-21 14:20:14.606616+00:00,2020-10-21 14:20:31.540346+00:00
42,5,44131,8.5,8.5,,,2020-10-21 14:20:54.957642+00:00,2020-10-21 14:20:54.957673+00:00
43,5,46002,9.5,7.0,,,2020-10-21 14:21:17.678397+00:00,2020-10-21 14:21:17.678424+00:00
44,5,104034,5.5,1.5,,,2020-10-21 14:21:37.602737+00:00,2020-10-21 14:21:37.602766+00:00
45,5,104134,5.0,3.0,,,2020-10-21 14:23:17.683121+00:00,2020-10-21 14:23:17.683161+00:00
